id,value
2006.blog,8.0
2006.bluetooth,5.0
2006.camera,8.0
2006.cingular,5.0
2006.com,5.0
2006.console,8.0
2006.content,8.0
2006.digg,11.0
2006.game,23.0
2006.ipod,12.0
2006.media,7.0
2006.mobile,14.0
2006.music,16.0
2006.online,8.0
2006.phone,19.0
2006.play,6.0
2006.player,14.0
2006.playstation,6.0
2006.search,15.0
2006.social,8.0
2006.story,11.0
2006.tv,8.0
2006.usb,6.0
2006.use,6.0
2006.video,23.0
2006.web,16.0
2006.wii,11.0
2007.advertising,10.0
2007.content,10.0
2007.device,5.0
2007.dvd,5.0
2007.game,28.0
2007.handsets,5.0
2007.iphone,12.0
2007.ipod,17.0
2007.itunes,10.0
2007.mac,9.0
2007.maps,5.0
2007.media,6.0
2007.mobile,12.0
2007.music,13.0
2007.network,9.0
2007.phone,30.0
2007.play,9.0
2007.player,7.0
2007.search,11.0
2007.social,12.0
2007.touch,8.0
2007.tv,10.0
2007.video,21.0
2007.web,12.0
2007.wireless,12.0
2008.advertising,15.0
2008.android,10.0
2008.application,39.0
2008.com,6.0
2008.device,9.0
2008.engine,6.0
2008.game,34.0
2008.iphone,13.0
2008.ipod,9.0
2008.itunes,7.0
2008.mobile,13.0
2008.music,8.0
2008.phone,19.0
2008.platform,6.0
2008.play,11.0
2008.search,13.0
2008.social,13.0
2008.touch,6.0
2008.video,17.0
2008.web,17.0
2008.wii,8.0
2008.windows,7.0
2008.xbox,11.0
2009.android,14.0
2009.application,31.0
2009.bing,5.0
2009.chrome,5.0
2009.com,6.0
2009.content,5.0
2009.device,8.0
2009.game,42.0
2009.iphone,17.0
2009.mobile,13.0
2009.network,6.0
2009.phone,13.0
2009.play,27.0
2009.player,6.0
2009.search,17.0
2009.social,11.0
2009.tv,8.0
2009.tweets,5.0
2009.use,6.0
2009.video,14.0
2009.web,19.0
2009.wii,7.0
2009.windows,6.0
2010.android,14.0
2010.application,25.0
2010.chrome,5.0
2010.content,5.0
2010.data,7.0
2010.device,14.0
2010.game,43.0
2010.gmail,5.0
2010.ipad,12.0
2010.iphone,16.0
2010.location,6.0
2010.mobile,14.0
2010.network,5.0
2010.phone,19.0
2010.play,20.0
2010.player,19.0
2010.search,11.0
2010.social,14.0
2010.tablet,5.0
2010.tv,9.0
2010.video,20.0
2010.web,12.0
2010.windows,5.0
2011.android,25.0
2011.application,27.0
2011.chrome,6.0
2011.content,6.0
2011.data,5.0
2011.device,19.0
2011.friends,5.0
2011.game,43.0
2011.ios,10.0
2011.ipad,14.0
2011.iphone,20.0
2011.mobile,19.0
2011.music,6.0
2011.network,6.0
2011.page,6.0
2011.phone,13.0
2011.play,17.0
2011.player,11.0
2011.search,9.0
2011.social,21.0
2011.tablet,9.0
2011.tv,5.0
2011.video,11.0
2011.web,7.0
2012.advertising,6.0
2012.android,21.0
2012.application,27.0
2012.browser,5.0
2012.cloud,7.0
2012.content,9.0
2012.data,13.0
2012.device,21.0
2012.friends,8.0
2012.galaxy,6.0
2012.game,34.0
2012.ios,13.0
2012.ipad,12.0
2012.iphone,17.0
2012.maps,7.0
2012.mobile,19.0
2012.page,6.0
2012.phone,10.0
2012.play,11.0
2012.player,11.0
2012.search,9.0
2012.social,12.0
2012.tablet,13.0
2012.tv,6.0
2012.video,11.0
2012.windows,13.0
2013.advertising,7.0
2013.android,20.0
2013.application,26.0
2013.cloud,9.0
2013.console,6.0
2013.customers,8.0
2013.data,16.0
2013.device,25.0
2013.game,32.0
2013.glass,8.0
2013.ios,15.0
2013.ipad,7.0
2013.iphone,9.0
2013.maps,6.0
2013.mobile,21.0
2013.music,5.0
2013.phone,9.0
2013.play,16.0
2013.player,10.0
2013.playstation,9.0
2013.reader,6.0
2013.search,13.0
2013.social,12.0
2013.video,6.0
2013.windows,7.0
2013.xbox,14.0
2014.advertising,27.0
2014.android,17.0
2014.application,32.0
2014.cloud,15.0
2014.content,12.0
2014.customers,7.0
2014.data,18.0
2014.device,19.0
2014.game,36.0
2014.health,7.0
2014.information,6.0
2014.ios,14.0
2014.ipad,6.0
2014.iphone,6.0
2014.media,10.0
2014.mobile,28.0
2014.phone,9.0
2014.play,16.0
2014.player,12.0
2014.playstation,11.0
2014.security,6.0
2014.social,11.0
2014.watch,6.0
2014.xbox,14.0
2015.advertising,9.0
2015.android,14.0
2015.application,28.0
2015.chrome,6.0
2015.cloud,17.0
2015.content,14.0
2015.data,14.0
2015.device,18.0
2015.game,35.0
2015.information,7.0
2015.ios,10.0
2015.ipad,6.0
2015.iphone,9.0
2015.marketing,11.0
2015.mobile,28.0
2015.music,9.0
2015.phone,10.0
2015.play,16.0
2015.player,11.0
2015.playstation,6.0
2015.security,7.0
2015.tv,9.0
2015.video,10.0
2015.watch,11.0
2015.windows,10.0
2015.xbox,12.0
2016.android,9.0
2016.application,34.0
2016.bot,24.0
2016.car,19.0
2016.cloud,12.0
2016.content,8.0
2016.data,18.0
2016.device,20.0
2016.game,35.0
2016.headset,7.0
2016.ios,7.0
2016.mobile,16.0
2016.music,7.0
2016.pc,10.0
2016.play,12.0
2016.player,11.0
2016.pokémon,7.0
2016.rift,6.0
2016.tv,6.0
2016.video,9.0
2016.vr,27.0
2016.watch,6.0
2017.ai,18.0
2017.alexa,4.0
2017.android,8.0
2017.application,27.0
2017.assistant,4.0
2017.car,21.0
2017.cloud,5.0
2017.content,16.0
2017.data,16.0
2017.device,5.0
2017.game,38.0
2017.headset,6.0
2017.machine learning,22.0
2017.messenger,4.0
2017.pc,12.0
2017.play,11.0
2017.player,11.0
2017.security,5.0
2017.self,10.0
2017.social,8.0
2017.video,7.0
2017.vr,24.0
